2025-09-14 18:34:03 | INFO | root | Aplicação iniciada
2025-09-14 18:52:46 | INFO | root | sample written: 2025-09-14T18:52:46,100,0,12282,11889,59,120.81
2025-09-14 18:52:48 | INFO | root | sample written: 2025-09-14T18:52:48,100,2,12282,11896,65,77.90
2025-09-14 18:52:50 | INFO | root | sample written: 2025-09-14T18:52:50,100,2,12282,11898,56,84.30
2025-09-14 18:52:52 | INFO | root | sample written: 2025-09-14T18:52:52,100,1,12282,11889,57,60.53
2025-09-14 18:52:54 | INFO | root | sample written: 2025-09-14T18:52:54,100,2,12282,11885,58,126.18
2025-09-14 18:52:56 | INFO | root | sample written: 2025-09-14T18:52:56,98,26,12282,11875,61,135.97
2025-09-14 18:52:58 | INFO | root | sample written: 2025-09-14T18:52:58,100,1,12282,11875,58,82.31
2025-09-14 18:53:00 | INFO | root | sample written: 2025-09-14T18:53:00,97,27,12282,11895,59,110.22
2025-09-14 18:53:03 | INFO | root | sample written: 2025-09-14T18:53:03,100,1,12282,11877,56,70.50
2025-09-14 18:53:05 | INFO | root | sample written: 2025-09-14T18:53:05,100,6,12282,11863,64,82.86
2025-09-14 18:53:07 | INFO | root | sample written: 2025-09-14T18:53:07,98,26,12282,11866,64,137.61
2025-09-14 18:53:09 | INFO | root | sample written: 2025-09-14T18:53:09,98,36,12282,11909,61,136.82
2025-09-14 18:53:11 | INFO | root | sample written: 2025-09-14T18:53:11,100,1,12282,11899,57,85.11
2025-09-14 18:53:13 | INFO | root | sample written: 2025-09-14T18:53:13,100,1,12282,11904,59,97.36
2025-09-14 18:53:15 | INFO | root | sample written: 2025-09-14T18:53:15,100,2,12282,11905,56,64.79
2025-09-14 18:53:17 | INFO | root | sample written: 2025-09-14T18:53:17,100,0,12282,11864,59,99.32
2025-09-14 18:53:19 | INFO | root | sample written: 2025-09-14T18:53:19,100,2,12282,11907,56,63.53
2025-09-14 18:53:21 | INFO | root | sample written: 2025-09-14T18:53:21,87,12,12282,11907,58,72.94
2025-09-14 18:53:23 | INFO | root | sample written: 2025-09-14T18:53:23,100,30,12282,11887,60,130.04
2025-09-14 18:53:25 | INFO | root | sample written: 2025-09-14T18:53:25,100,1,12282,11887,59,69.74
2025-09-14 18:53:27 | INFO | root | sample written: 2025-09-14T18:53:27,100,2,12282,11893,59,129.11
2025-09-14 18:53:29 | INFO | root | sample written: 2025-09-14T18:53:29,97,21,12282,11890,63,129.42
2025-09-14 18:53:31 | INFO | root | sample written: 2025-09-14T18:53:31,100,2,12282,11875,60,106.30
2025-09-14 18:53:33 | INFO | root | sample written: 2025-09-14T18:53:33,100,42,12282,11886,63,142.68
2025-09-14 18:53:35 | INFO | root | sample written: 2025-09-14T18:53:35,100,3,12282,11892,66,104.08
2025-09-14 18:53:37 | INFO | root | sample written: 2025-09-14T18:53:37,99,1,12282,11903,60,134.95
2025-09-14 18:53:39 | INFO | root | sample written: 2025-09-14T18:53:39,100,1,12282,11887,59,136.12
2025-09-14 18:53:41 | INFO | root | sample written: 2025-09-14T18:53:41,94,29,12282,11881,59,121.35
2025-09-14 18:53:43 | INFO | root | sample written: 2025-09-14T18:53:43,92,22,12282,11902,64,150.15
2025-09-14 18:53:45 | INFO | root | sample written: 2025-09-14T18:53:45,100,18,12282,11897,69,111.54
2025-09-14 18:53:47 | INFO | root | sample written: 2025-09-14T18:53:47,100,33,12282,11891,63,152.46
2025-09-14 18:53:49 | INFO | root | sample written: 2025-09-14T18:53:49,95,8,12282,11891,59,111.79
2025-09-14 18:53:51 | INFO | root | sample written: 2025-09-14T18:53:51,100,25,12282,11882,71,123.80
2025-09-14 18:53:53 | INFO | root | sample written: 2025-09-14T18:53:53,97,5,12282,11849,60,112.37
2025-09-14 18:53:55 | INFO | root | sample written: 2025-09-14T18:53:55,99,12,12282,11837,67,128.18
2025-09-14 18:53:57 | INFO | root | sample written: 2025-09-14T18:53:57,100,2,12282,11836,59,76.62
2025-09-14 18:53:59 | INFO | root | sample written: 2025-09-14T18:53:59,97,25,12282,11817,58,75.55
2025-09-14 18:54:01 | INFO | root | sample written: 2025-09-14T18:54:01,99,14,12282,11837,59,85.60
2025-09-14 18:54:03 | INFO | root | sample written: 2025-09-14T18:54:03,100,1,12282,11764,58,74.26
